2020-08-09 20:55:45
Running ../release/bin/pubsub
Run on (2 X 1598.84 MHz CPU s)
CPU Caches:
  L1 Data 32K (x2)
  L1 Instruction 32K (x2)
  L2 Unified 256K (x2)
  L3 Unified 3072K (x2)
Load Average: 1.00, 1.00, 0.82
----------------------------------------------------------------------------
Benchmark                                  Time             CPU   Iterations
E_update_legacy                         3.25 ns         3.25 ns    213853038
E_update_legacy                         3.28 ns         3.27 ns    213853038
E_update_legacy                         3.27 ns         3.26 ns    213853038
E_update_legacy                         3.20 ns         3.20 ns    213853038
E_update_legacy                         3.24 ns         3.24 ns    213853038
E_update_legacy                         3.23 ns         3.22 ns    213853038
E_update_legacy                         3.28 ns         3.27 ns    213853038
E_update_legacy                         3.23 ns         3.23 ns    213853038
E_update_legacy                         3.23 ns         3.23 ns    213853038
E_update_legacy                         3.22 ns         3.22 ns    213853038
E_update_legacy                         3.18 ns         3.16 ns    213853038
E_update_legacy                         3.30 ns         3.28 ns    213853038
E_update_legacy_mean                    3.24 ns         3.23 ns           50
E_update_legacy_median                  3.23 ns         3.23 ns           50
E_update_legacy_stddev                 0.038 ns        0.037 ns           50
A_create_subscription                 705392 ns       704830 ns          990
A_create_subscription                 723612 ns       722667 ns          990
A_create_subscription                 715117 ns       714655 ns          990
A_create_subscription                 695647 ns       694127 ns          990
A_create_subscription                 705239 ns       705307 ns          990
A_create_subscription                 700348 ns       699836 ns          990
A_create_subscription                 707158 ns       706451 ns          990
A_create_subscription                 708669 ns       707832 ns          990
A_create_subscription                 712202 ns       710633 ns          990
A_create_subscription                 714803 ns       714045 ns          990
A_create_subscription                 701525 ns       700228 ns          990
A_create_subscription                 702114 ns       701179 ns          990
A_create_subscription                 711899 ns       706178 ns          990
A_create_subscription                 705299 ns       702103 ns          990
A_create_subscription                 702868 ns       700054 ns          990
A_create_subscription                 757381 ns       752570 ns          990
A_create_subscription                 716733 ns       714891 ns          990
A_create_subscription                 702642 ns       700361 ns          990
A_create_subscription                 707617 ns       706613 ns          990
A_create_subscription                 712618 ns       711365 ns          990
A_create_subscription                 735829 ns       733793 ns          990
A_create_subscription                 714333 ns       712622 ns          990
A_create_subscription                 712195 ns       710183 ns          990
A_create_subscription                 719038 ns       717511 ns          990
A_create_subscription                 705948 ns       704467 ns          990
A_create_subscription                 707753 ns       707028 ns          990
A_create_subscription                 714426 ns       712958 ns          990
A_create_subscription                 727068 ns       725380 ns          990
A_create_subscription                 709387 ns       707800 ns          990
A_create_subscription                 709946 ns       708892 ns          990
A_create_subscription                 710698 ns       709410 ns          990
A_create_subscription                 704879 ns       703542 ns          990
A_create_subscription                 762208 ns       761241 ns          990
A_create_subscription                 723860 ns       722337 ns          990
A_create_subscription                 772562 ns       768503 ns          990
A_create_subscription                 741501 ns       734234 ns          990
A_create_subscription                 746411 ns       742444 ns          990
A_create_subscription                 712535 ns       710331 ns          990
A_create_subscription                 713413 ns       708731 ns          990
A_create_subscription                 724300 ns       722267 ns          990
A_create_subscription                 727779 ns       725126 ns          990
A_create_subscription                 716650 ns       714439 ns          990
A_create_subscription                 718195 ns       715392 ns          990
A_create_subscription                 714208 ns       711635 ns          990
A_create_subscription                 710359 ns       708486 ns          990
A_create_subscription                 716074 ns       713689 ns          990
A_create_subscription                 739585 ns       731787 ns          990
A_create_subscription                 711987 ns       708297 ns          990
A_create_subscription                 710704 ns       707071 ns          990
A_create_subscription                 713015 ns       710136 ns          990
A_create_subscription_mean            717115 ns       714913 ns           50
A_create_subscription_median          712576 ns       710257 ns           50
A_create_subscription_stddev           15975 ns        15281 ns           50
B_destruct_subscription           14812880010882 ns   107358856229 ns            1
B_destruct_subscription           14812881724282 ns   107360379541 ns            1
B_destruct_subscription           14812882943682 ns   107361545796 ns            1
B_destruct_subscription           14812884007382 ns   107362588813 ns            1
