2020-08-09 20:48:24
Running ../release/bin/pubsub
Run on (2 X 1598.84 MHz CPU s)
CPU Caches:
  L1 Data 32K (x2)
  L1 Instruction 32K (x2)
  L2 Unified 256K (x2)
  L3 Unified 3072K (x2)
Load Average: 1.02, 0.94, 0.67
----------------------------------------------------------------------------
Benchmark                                  Time             CPU   Iterations
C_subscribe_legacy                14296762446503 ns   32831110203 ns            1
C_subscribe_legacy                14296775615030 ns   32844283825 ns            1
C_subscribe_legacy                14296790985755 ns   32859652755 ns            1
C_subscribe_legacy                14296805479692 ns   32874137648 ns            1
C_subscribe_legacy                14296816791074 ns   32885455140 ns            1
C_subscribe_legacy                14296831423835 ns   32900034342 ns            1
C_subscribe_legacy                14296846707393 ns   32915313998 ns            1
C_subscribe_legacy                14296859539694 ns   32928143012 ns            1
C_subscribe_legacy                14296871319437 ns   32939928124 ns            1
C_subscribe_legacy                14296886979382 ns   32955587661 ns            1
C_subscribe_legacy                14296902381216 ns   32970983032 ns            1
C_subscribe_legacy                14296913779876 ns   32982383716 ns            1
C_subscribe_legacy                14296927056761 ns   32995666729 ns            1
C_subscribe_legacy_mean           14296588368828 ns   32657291658 ns           50
C_subscribe_legacy_median         14296589477141 ns   32658447572 ns           50
C_subscribe_legacy_stddev          202889436 ns    202704502 ns           50
D_unsubscribe_legacy              14296983413185 ns   33051960460 ns            1
D_unsubscribe_legacy              14297007994711 ns   33076097161 ns            1
D_unsubscribe_legacy              14297035432344 ns   33103625000 ns            1
D_unsubscribe_legacy              14297061573364 ns   33129581062 ns            1
D_unsubscribe_legacy              14297086382641 ns   33154039634 ns            1
D_unsubscribe_legacy              14297116861709 ns   33181208467 ns            1
D_unsubscribe_legacy              14297137359735 ns   33203414825 ns            1
D_unsubscribe_legacy              14297165244230 ns   33231335030 ns            1
D_unsubscribe_legacy              14297187619512 ns   33253696572 ns            1
D_unsubscribe_legacy              14297217500000 ns   33283352500 ns            1
D_unsubscribe_legacy              14297237884234 ns   33303839895 ns            1
D_unsubscribe_legacy              14297266241360 ns   33332211551 ns            1
D_unsubscribe_legacy              14297289733539 ns   33353811006 ns            1
D_unsubscribe_legacy              14297320264736 ns   33385292881 ns            1
D_unsubscribe_legacy              14297339819061 ns   33404568928 ns            1
D_unsubscribe_legacy              14297366040438 ns   33430940851 ns            1
D_unsubscribe_legacy              14297388366177 ns   33453247225 ns            1
D_unsubscribe_legacy              14297418723929 ns   33483624578 ns            1
D_unsubscribe_legacy              14297438406213 ns   33503288480 ns            1
D_unsubscribe_legacy              14297469734473 ns   33534646801 ns            1
D_unsubscribe_legacy              14297489228333 ns   33554116916 ns            1
D_unsubscribe_legacy              14297523502193 ns   33588398952 ns            1
D_unsubscribe_legacy              14297540133756 ns   33604987368 ns            1
D_unsubscribe_legacy              14297582023401 ns   33645560716 ns            1
D_unsubscribe_legacy              14297593567711 ns   33657805143 ns            1
D_unsubscribe_legacy              14297631128600 ns   33694696192 ns            1
D_unsubscribe_legacy              14297645711099 ns   33709591572 ns            1
D_unsubscribe_legacy              14297682277048 ns   33746160143 ns            1
D_unsubscribe_legacy              14297697237705 ns   33761134240 ns            1
D_unsubscribe_legacy              14297733449812 ns   33797336630 ns            1
D_unsubscribe_legacy              14297749307341 ns   33813203250 ns            1
D_unsubscribe_legacy              14297790265055 ns   33852786046 ns            1
D_unsubscribe_legacy              14297806802753 ns   33869686424 ns            1
D_unsubscribe_legacy              14297835336282 ns   33898369052 ns            1
D_unsubscribe_legacy              14297857173966 ns   33920080726 ns            1
D_unsubscribe_legacy              14297885113282 ns   33948074582 ns            1
D_unsubscribe_legacy              14297907853132 ns   33970798216 ns            1
D_unsubscribe_legacy              14297935550921 ns   33998506606 ns            1
D_unsubscribe_legacy              14297959472365 ns   34022435165 ns            1
D_unsubscribe_legacy              14297986120423 ns   34049078221 ns            1
D_unsubscribe_legacy              14298009858172 ns   34072819534 ns            1
D_unsubscribe_legacy              14298035816690 ns   34098735206 ns            1
D_unsubscribe_legacy              14298060432630 ns   34123232225 ns            1
D_unsubscribe_legacy              14298086400333 ns   34149266055 ns            1
D_unsubscribe_legacy              14298110640906 ns   34173514821 ns            1
D_unsubscribe_legacy              14298135925560 ns   34198788153 ns            1
D_unsubscribe_legacy              14298160138880 ns   34222977985 ns            1
D_unsubscribe_legacy              14298186035879 ns   34248849362 ns            1
D_unsubscribe_legacy              14298210827302 ns   34273669201 ns            1
D_unsubscribe_legacy              14298236290380 ns   34299114477 ns            1
D_unsubscribe_legacy_mean         14297611964350 ns   33676351122 ns           50
D_unsubscribe_legacy_median       14297612348155 ns   33676250668 ns           50
D_unsubscribe_legacy_stddev        373825687 ns    372341814 ns           50
